j,k,0,1
1,20,8.626495768614498e-08,1.6667692504845963e-05
1,21,4.762248506956119e-08,1.1966253738579293e-05
1,22,2.6275176849568162e-08,8.610073987325937e-06
1,23,1.44662412213088e-08,6.202701346641026e-06
1,24,7.93653907638375e-09,4.470443968131208e-06
1,25,4.32822918770365e-09,3.2188522071783934e-06
1,26,2.3437820429760374e-09,2.3138819580770927e-06
1,27,1.2561366930200105e-09,1.658510950527881e-06
1,28,6.658981795415781e-10,1.1840948191162063e-06
1,29,3.4793380220851995e-10,8.40981096790366e-07
1,30,1.787868344399546e-10,5.934186289278775e-07
1,31,9.01135343660233e-11,4.1540931147206213e-07
1,32,4.439543210018356e-11,2.880140889658071e-07
1,33,2.128878936444093e-11,1.973929639558865e-07
1,34,9.901251932740074e-12,1.3344744844098343e-07
1,35,4.4386448186288175e-12,8.87554172397871e-08
1,36,1.9076529398696163e-12,5.789840234534892e-08
1,37,7.795722571321615e-13,3.690558225437623e-08
1,38,3.001981663139723e-13,2.2878369472890537e-08
1,39,1.0763122541584683e-13,1.3712613367000985e-08
1,40,3.539122825157129e-14,7.887015165304681e-09
1,41,1.0461753176204202e-14,4.309520696665346e-09
1,42,2.707530510326453e-15,2.206900639418232e-09
1,43,5.914276416106383e-16,1.0391301451515288e-09
1,44,1.0339166612637562e-16,4.374996311824886e-10
1,45,1.3374142813284744e-17,1.577867023989905e-10
1,46,1.1305327188632468e-18,4.544682896235061e-11
1,47,5.0636777170358075e-20,9.23512351189204e-12
1,48,6.893111953173955e-22,1.0401129002636222e-12
1,49,0.0,3.804102881906167e-14
1,50,1.5779770081329202e-22,8.824911906099071e-17
2,0,0.07851100997897108,0.1941758691916319
2,1,0.37868649957268546,0.35365420153205374
2,2,0.2792921666590445,0.19575696509816812
2,3,0.13470289203923738,0.1007689306952614
2,4,0.06349310042887099,0.056237570978748694
2,5,0.03094648318518783,0.03345212610049027
2,6,0.01569100163350439,0.0208907403158294
2,7,0.00824827384601622,0.013552896658103554
2,8,0.0044730174499907835,0.009063815158801478
2,9,0.002490535194018146,0.006214352664252416
2,10,0.0014179309332629081,0.004348712430823511
2,11,0.0008224474791288078,0.003095583600103809
2,12,0.0004846245819662106,0.0022354819340839943
2,13,0.0002892318807922613,0.001634062605048186
2,14,0.00017449944415421357,0.0012067433536284266
2,15,0.00010620143728324723,0.0008988961649485886
2,16,6.507580969961638e-05,0.0006745067941239636
2,17,4.008584468123971e-05,0.0005091789468396995
2,18,2.4780206683809173e-05,0.00038631712426196536
2,19,1.5355213824668778e-05,0.00029425270475218223
2,20,9.521087252144287e-06,0.00022483135543202636
2,21,5.900559349598151e-06,0.00017216823825055898
2,22,3.6501324119299405e-06,0.00013202086738509306
2,23,2.2510827714047405e-06,0.0001012897141140147
2,24,1.381139028166724e-06,7.770432241728463e-05
2,25,8.427106465204889e-07,5.954248386045792e-05
2,26,5.101537012407671e-07,4.5541316860080854e-05
2,27,3.0596027200755956e-07,3.4739597990900836e-05
2,28,1.8151167468536474e-07,2.6401006032567424e-05
2,29,1.0627984017165273e-07,1.997072863265268e-05
2,30,6.12915042282972e-08,1.501979195531913e-05
2,31,3.4724287868928394e-08,1.1217029550262344e-05
2,32,1.927307732715826e-08,8.30683020174378e-06
2,33,1.044609681959343e-08,6.090475327431314e-06
2,34,5.50617104836478e-09,4.412523419187322e-06
2,35,2.810840930275723e-09,3.1521344152288783e-06
2,36,1.3814527474669505e-09,2.21424343566374e-06
2,37,6.493881664175715e-10,1.524641197823282e-06
2,38,2.8959205423183664e-10,1.0247975483237069e-06
2,39,1.212325612669328e-10,6.690028222148264e-07
2,40,4.698486299361388e-11,4.213826046965519e-07
2,41,1.6569550873445017e-11,2.5383670886537536e-07
2,42,5.189684843578311e-12,1.4449971661188612e-07
2,43,1.396352502267043e-12,7.642778054125848e-08
2,44,3.0766662229486985e-13,3.6637127524365735e-08
2,45,5.163831089919291e-14,1.5315409729453055e-08
2,46,5.88894505913118e-15,5.239144603286868e-09
2,47,3.7584764214806175e-16,1.3085831638570144e-09
2,48,9.335944353710318e-18,1.9036782389454377e-10
